Topic,Count,Name,Representation,Representative_Docs
-1,2089,-1_kerja_presiden_ada_prabowo,"['kerja', 'presiden', 'ada', 'prabowo', 'di', 'tapi', 'pemerintah', 'gak', 'buat', 'aja']","['presiden prabowo subianto menekankan bahwa pembangunan huniankorbanbencana terdampak harus menjadi prioritas utama agar masyarakat dapat segera memiliki tempat tinggal yang layak dan aman memulihkan warga terdampak', 'sambil yang lain masih rapat soal istilah presiden prabowo sudah bahas akses darurat karena prabowo pulihkan infrastruktur itu kerja bukan narasi tujuannya jelas biar rakyat cepat bangkit pasca bencana jalan dibuka mobilitas hidup lagi ekonomi ikut bangun', 'soal listrik emang ada kendala di lapangan karena kondisi alam yang menantang dan beberapa wilayah masih banjir tapi presiden prabowo optimis dalam seminggu ke depan listrik bisa pulih kembali di sebagian besar area ini bukti pemerintah juga zonauang']"
0,1333,0_presiden_jadi_aja_gak,"['presiden', 'jadi', 'aja', 'gak', 'ga', 'jd', 'pak', 'dia', 'ya', 'nya']","['bener harusnya dia aja tuh jadi presiden', 'yg nyuruh udah tua msh nyalon siapa yg milih jg aneh udah tau udah tua malah disuruh kerja krn kasian dah tau kerjaan presiden tu ga dikit dan ga gampang', 'ini aja yg jadi presiden']"
1,527,1_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
2,241,2_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'kayaknya', 'malaysia', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
3,195,3_indonesia_republik_jakarta_rakyat,"['indonesia', 'republik', 'jakarta', 'rakyat', 'presiden', 'sejarah', 'pada', 'ke', 'aceh', 'merdeka']","['presiden republik indonesia ri prabowo subianto memanggil sejumlah menteri kabinet merah putih ke hambalang kabupaten bogor provinsi jawa barat jabar untuk apa', 'presiden republik indonesia prabowo subianto memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor pada minggu desember untuk membahas penanganan bencana di sumatra serta kesiapan menghadapi liburan akhir tahun', 'presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik dapat kembali normal persen secepatnya di seluruh wilayah terdampak bencana banjir bandang di sumatera presiden prabowosubianto listrik aceh idola smg indonesia']"
4,121,4_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
5,91,5_penanganan_bencana_terdampak_percepatan,"['penanganan', 'bencana', 'terdampak', 'percepatan', 'terkendali', 'pastikan', 'cepat', 'sumatera', 'memanggil', 'berjalan']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
6,87,6_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
7,80,7_menlu_nya_hopeless_gblk,"['menlu', 'nya', 'hopeless', 'gblk', 'apa', 'mas', 'kemenlu', 'belum', 'gak', 'min']","['menlu nya ngapain aja min mas tlg atensinya mas', 'menlu bisa apa', 'menlu nya bisa di aja gak']"
8,69,8_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semangat', 'semoga']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
